bar_index,timestamp,close,py_trail_up,py_trail_down,py_eq,py_in_premium,py_in_discount,py_position_pct,ninja_in_premium,ninja_in_discount,match
197,2025-11-11 02:18:00,4138.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
198,2025-11-11 02:19:00,4139,0.0,4123.1,0.0,False,False,50.0,False,False,True
199,2025-11-11 02:20:00,4139.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
200,2025-11-11 02:21:00,4139.9,0.0,4123.1,0.0,False,False,50.0,False,False,True
201,2025-11-11 02:22:00,4141.6,0.0,4123.1,0.0,False,False,50.0,False,False,True
202,2025-11-11 02:23:00,4143.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
203,2025-11-11 02:24:00,4143.4,0.0,4123.1,0.0,False,False,50.0,False,False,True
204,2025-11-11 02:25:00,4143.1,4147.4,4123.1,4135.25,True,False,82.30452674897366,False,False,False
205,2025-11-11 02:26:00,4139.6,4147.4,4123.1,4135.25,True,False,67.90123456790327,False,False,False
206,2025-11-11 02:27:00,4141.2,4147.4,4123.1,4135.25,True,False,74.48559670781891,False,False,False
207,2025-11-11 02:28:00,4141.1,4147.4,4123.1,4135.25,True,False,74.0740740740763,False,False,False
208,2025-11-11 02:29:00,4141,4147.4,4123.1,4135.25,True,False,73.66255144032992,False,False,False
209,2025-11-11 02:30:00,4140.3,4147.4,4123.1,4135.25,True,False,70.7818930041166,False,False,False
210,2025-11-11 02:31:00,4137.8,4147.4,4123.1,4135.25,True,False,60.493827160494895,False,False,False
211,2025-11-11 02:32:00,4137.1,4147.4,4123.1,4135.25,True,False,57.61316872428156,False,False,False
212,2025-11-11 02:33:00,4137,4147.4,4123.1,4135.25,True,False,57.2016460905352,False,False,False
213,2025-11-11 02:34:00,4137.7,4147.4,4123.1,4135.25,True,False,60.08230452674852,False,False,False
214,2025-11-11 02:35:00,4136.4,4147.4,4123.1,4135.25,True,False,54.73251028806448,False,False,False
215,2025-11-11 02:36:00,4137,4147.4,4123.1,4135.25,True,False,57.2016460905352,False,False,False
216,2025-11-11 02:37:00,4136.4,4147.4,4123.1,4135.25,True,False,54.73251028806448,False,False,False
217,2025-11-11 02:38:00,4137.7,4147.4,4123.1,4135.25,True,False,60.08230452674852,False,False,False
218,2025-11-11 02:39:00,4136.8,4147.4,4123.1,4135.25,True,False,56.37860082304621,False,False,False
219,2025-11-11 02:40:00,4138.6,4147.4,4123.1,4135.25,True,False,63.786008230454584,False,False,False
220,2025-11-11 02:41:00,4140.3,4147.4,4123.1,4135.25,True,False,70.7818930041166,False,False,False
221,2025-11-11 02:42:00,4140.8,4147.4,4123.1,4135.25,True,False,72.83950617284094,False,False,False
222,2025-11-11 02:43:00,4143,4147.4,4123.1,4135.25,True,False,81.8930041152273,False,False,False
223,2025-11-11 02:44:00,4143,4147.4,4123.1,4135.25,True,False,81.8930041152273,False,False,False
224,2025-11-11 02:45:00,4144.7,4147.4,4123.1,4135.25,True,False,88.88888888888931,False,False,False
225,2025-11-11 02:46:00,4145,4147.4,4123.1,4135.25,True,False,90.12345679012466,False,False,False
226,2025-11-11 02:47:00,4144.4,4147.4,4123.1,4135.25,True,False,87.65432098765396,False,False,False
227,2025-11-11 02:48:00,4144.3,4147.4,4123.1,4135.25,True,False,87.24279835391133,False,False,False
228,2025-11-11 02:49:00,4143.2,4147.4,4123.1,4135.25,True,False,82.71604938271628,False,False,False
229,2025-11-11 02:50:00,4142.5,4147.4,4123.1,4135.25,True,False,79.83539094650295,False,False,False
230,2025-11-11 02:51:00,4140.7,4147.4,4123.1,4135.25,True,False,72.42798353909457,False,False,False
231,2025-11-11 02:52:00,4142.1,4147.4,4123.1,4135.25,True,False,78.18930041152498,False,False,False
232,2025-11-11 02:53:00,4141.7,4147.4,4123.1,4135.25,True,False,76.54320987654326,False,False,False
233,2025-11-11 02:54:00,4141.1,4147.4,4123.1,4135.25,True,False,74.0740740740763,False,False,False
234,2025-11-11 02:55:00,4140.4,4147.4,4123.1,4135.25,True,False,71.19341563785922,False,False,False
235,2025-11-11 02:56:00,4141.9,4147.4,4123.1,4135.25,True,False,77.36625514403225,False,False,False
236,2025-11-11 02:57:00,4142.6,4147.4,4123.1,4135.25,True,False,80.24691358024931,False,False,False
237,2025-11-11 02:58:00,4143.6,4147.4,4123.1,4135.25,True,False,84.362139917698,False,False,False
238,2025-11-11 02:59:00,4145.1,4147.4,4123.1,4135.25,True,False,90.53497942387102,False,False,False
239,2025-11-11 03:00:00,4143.9,4147.4,4123.1,4135.25,True,False,85.5967078189296,False,False,False
240,2025-11-11 03:01:00,4143.4,4147.4,4123.1,4135.25,True,False,83.53909465020527,False,False,False
241,2025-11-11 03:02:00,4143.4,4147.4,4123.1,4135.25,True,False,83.53909465020527,False,False,False
242,2025-11-11 03:03:00,4144,4147.4,4123.1,4135.25,True,False,86.00823045267597,False,False,False
243,2025-11-11 03:04:00,4143.5,4147.4,4123.1,4135.25,True,False,83.95061728395163,False,False,False
244,2025-11-11 03:05:00,4144.3,4147.4,4123.1,4135.25,True,False,87.24279835391133,False,False,False
245,2025-11-11 03:06:00,4145.6,4147.4,4123.1,4135.25,True,False,92.59259259259537,False,False,False
246,2025-11-11 03:07:00,4144.6,4147.4,4123.1,4135.25,True,False,88.47736625514668,False,False,False
247,2025-11-11 03:08:00,4144.9,4147.4,4123.1,4135.25,True,False,89.71193415637829,False,False,False
248,2025-11-11 03:09:00,4145.1,4147.4,4123.1,4135.25,True,False,90.53497942387102,False,False,False
249,2025-11-11 03:10:00,4146.8,4147.4,4123.1,4135.25,True,False,97.53086419753303,False,False,False
250,2025-11-11 03:11:00,4147.9,4147.4,4123.1,4135.25,True,False,100,False,False,False
251,2025-11-11 03:12:00,4149,4147.4,4123.1,4135.25,True,False,100,False,False,False
252,2025-11-11 03:13:00,4149,4147.4,4123.1,4135.25,True,False,100,False,False,False
